PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=313 ttl=63 time=335 ms
64 bytes from 10.0.2.22: icmp_seq=315 ttl=63 time=324 ms
64 bytes from 10.0.2.22: icmp_seq=316 ttl=63 time=271 ms
64 bytes from 10.0.2.22: icmp_seq=317 ttl=63 time=221 ms
64 bytes from 10.0.2.22: icmp_seq=318 ttl=63 time=180 ms
64 bytes from 10.0.2.22: icmp_seq=319 ttl=63 time=181 ms
64 bytes from 10.0.2.22: icmp_seq=320 ttl=63 time=182 ms
64 bytes from 10.0.2.22: icmp_seq=321 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=322 ttl=63 time=185 ms
64 bytes from 10.0.2.22: icmp_seq=323 ttl=63 time=183 ms
64 bytes from 10.0.2.22: icmp_seq=324 ttl=63 time=182 ms
64 bytes from 10.0.2.22: icmp_seq=325 ttl=63 time=183 ms
64 bytes from 10.0.2.22: icmp_seq=326 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=327 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=328 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=329 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=330 ttl=63 time=189 ms
64 bytes from 10.0.2.22: icmp_seq=331 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=332 ttl=63 time=189 ms
64 bytes from 10.0.2.22: icmp_seq=333 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=334 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=335 ttl=63 time=184 ms
64 bytes from 10.0.2.22: icmp_seq=336 ttl=63 time=181 ms
64 bytes from 10.0.2.22: icmp_seq=337 ttl=63 time=182 ms
64 bytes from 10.0.2.22: icmp_seq=338 ttl=63 time=183 ms
64 bytes from 10.0.2.22: icmp_seq=339 ttl=63 time=185 ms
64 bytes from 10.0.2.22: icmp_seq=340 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=341 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=342 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=343 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=344 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=345 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=346 ttl=63 time=197 ms
64 bytes from 10.0.2.22: icmp_seq=347 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=348 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=349 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=350 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=351 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=352 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=353 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=354 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=355 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=356 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=357 ttl=63 time=185 ms
64 bytes from 10.0.2.22: icmp_seq=358 ttl=63 time=189 ms
64 bytes from 10.0.2.22: icmp_seq=359 ttl=63 time=193 ms
64 bytes from 10.0.2.22: icmp_seq=360 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=361 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=362 ttl=63 time=193 ms
64 bytes from 10.0.2.22: icmp_seq=363 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=364 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=365 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=366 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=367 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=368 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=369 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=370 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=371 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=372 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=373 ttl=63 time=193 ms
64 bytes from 10.0.2.22: icmp_seq=374 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=375 ttl=63 time=194 ms
64 bytes from 10.0.2.22: icmp_seq=376 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=377 ttl=63 time=194 ms
64 bytes from 10.0.2.22: icmp_seq=378 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=379 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=380 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=381 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=382 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=383 ttl=63 time=193 ms
64 bytes from 10.0.2.22: icmp_seq=384 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=385 ttl=63 time=187 ms
64 bytes from 10.0.2.22: icmp_seq=386 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=387 ttl=63 time=190 ms
64 bytes from 10.0.2.22: icmp_seq=388 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=389 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=390 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=391 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=392 ttl=63 time=4746 ms
64 bytes from 10.0.2.22: icmp_seq=393 ttl=63 time=9405 ms
64 bytes from 10.0.2.22: icmp_seq=394 ttl=63 time=9401 ms
64 bytes from 10.0.2.22: icmp_seq=395 ttl=63 time=9408 ms
64 bytes from 10.0.2.22: icmp_seq=396 ttl=63 time=9378 ms
64 bytes from 10.0.2.22: icmp_seq=397 ttl=63 time=9420 ms
64 bytes from 10.0.2.22: icmp_seq=398 ttl=63 time=9412 ms
64 bytes from 10.0.2.22: icmp_seq=399 ttl=63 time=9407 ms
64 bytes from 10.0.2.22: icmp_seq=400 ttl=63 time=9304 ms
64 bytes from 10.0.2.22: icmp_seq=401 ttl=63 time=9200 ms
64 bytes from 10.0.2.22: icmp_seq=402 ttl=63 time=9099 ms
64 bytes from 10.0.2.22: icmp_seq=403 ttl=63 time=8999 ms
64 bytes from 10.0.2.22: icmp_seq=404 ttl=63 time=8895 ms
64 bytes from 10.0.2.22: icmp_seq=405 ttl=63 time=8794 ms
64 bytes from 10.0.2.22: icmp_seq=406 ttl=63 time=8690 ms
64 bytes from 10.0.2.22: icmp_seq=407 ttl=63 time=8588 ms
